Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,BibTex
16_personalityfactors,16_personalityfactors,Personality assessment,http://openpsychometrics.org/_rawdata/,Catell's 16 Personality Factors Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/16PF.zip,,,Public,CC BY 4.0,,LCM,,"@misc{16PF,
  title = {Catell's 16 Personality Factors Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/16PF.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
4thgrade_math_sirt,4thgrade_math_sirt,Data from a 4th grade math test of German students.,https://cran.r-project.org/web/packages/sirt/index.html,"Robitzsch A (2022). sirt: Supplementary Item Response Theory Models. R package version 3.12-66, https://CRAN.R-project.org/package=sirt.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,,"@Manual{Robitzsch2022,
  title = {sirt: Supplementary Item Response Theory Models},
  author = {Alexander Robitzsch},
  year = {2022},
  note = {R package version 3.12-66},
  url = {https://CRAN.R-project.org/package=sirt}
}"
abortion,abortion,Attitudes on abortion,https://cran.r-project.org/web/packages/ltm/index.html,"McGrath, K. and Waterton, J. (1986) British social attitudes, 1983-86 panel survey. London: SCPR.",,GPL-2 | GPL-3,Public,GPL-3,Data modified from original on 1-25-2023,BD,,"@book{mcgrath1986british,
  title={British social attitudes, 1983-86 panel survey},
  author={McGrath, K. and Waterton, J.},
  year={1986},
  publisher={SCPR},
  address={London},
  url={https://cran.r-project.org/web/packages/ltm/index.html}
}"
acl_mokken,acl_mokken,Data from the ajective check list,https://cran.r-project.org/web/packages/mokken/index.html,"Gough, H. G., & Heilbrun,A. B. (1980) The Adjective Check List, Manual 1980 Edition. Consulting Psychologists Press.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@book{gough1980adjective,
  title={The Adjective Check List, Manual 1980 Edition},
  author={Gough, Harrison G. and Heilbrun, Alfred B.},
  year={1980},
  publisher={Consulting Psychologists Press},
  url={https://cran.r-project.org/web/packages/mokken/index.html}
}"
anxiety_lordif,anxiety_lordif,Reports for PROMIS anxiety measure,https://cran.r-project.org/web/packages/lordif/index.html,"PROMIS Cooperative Group. Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1. October, 2008: http://www.nihpromis.org",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 5-8-2023,BD,,"@manual{promis2008,
  title = {Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1},
  author = {{PROMIS Cooperative Group}},
  year = {2008},
  month = {October},
  url = {http://www.nihpromis.org},
  note = {Available at: https://cran.r-project.org/web/packages/lordif/index.html}
}"
approaches_to_text_study1,approaches_to_text_study1,"Item responses for study 1 of the Approaches to Text Questionnaire wherein participants completed survey items to the 87-item TReAT-Q, need for cognition, and a subset of questions from the adult reading history questionnaire",https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79,"Calloway RC, Helder A, Perfetti CA. Study 1 TReATQ, RH, NFC Raw Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",,,,,,LCM,,"@dataset{calloway_study_2023,
  author = {Calloway, Regina C. and Helder, Anne and Perfetti, Charles A.},
  title = {Study 1 {TReATQ}, {RH}, {NFC} Raw Data from 'A measure of individual differences in readers\' approaches to text and its relation to reading experience and reading comprehension'},
  year = {2023},
  publisher = {OSF},
  journal = {Behavior Research Methods},
  volume = {55},
  number = {2},
  pages = {899--931},
  url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79}
}"
approaches_to_text_study2,approaches_to_text_study2,"Item responses for study 2 of Approaches to Text wherein participants completed a host of surveys, which collected items on participants' comprehension, vocabulary, reading history, author recognition, etc",https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd80,"Calloway RC, Helder A, Perfetti CA. Study 2 Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",,,,,,LCM,,"@dataset{calloway_study2_2023,
  author = {Calloway, Regina C. and Helder, Anne and Perfetti, Charles A.},
  title = {Study 2 Data from 'A measure of individual differences in readers\' approaches to text and its relation to reading experience and reading comprehension'},
  year = {2023},
  publisher = {OSF},
  journal = {Behavior Research Methods},
  volume = {55},
  number = {2},
  pages = {899--931},
  url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd80},
  type = {dataset}
}"
artistic_preferences,artistic_preferences,Data on individual differences in what people enjoy about visual art,http://openpsychometrics.org/_rawdata/,Artistic Preferences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/APS_data.zip,,Copyright: CC BY-NC-SA 4.0,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,,"@misc{APS_dataset,
  title = {Artistic Preferences Scale [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/APS_data.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
assistments_0910,assistments_0910,Response data for skill-building and non-skill-building items from ASSISTments. Data from SY 2009-10,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data,,,,,,,LCM,,"@misc{assistments2010,
  title = {2009-2010 {ASSISTment} Data},
  year = {2010},
  url = {https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data},
  howpublished = {\\url{https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data}},
  organization = {ASSISTments}
}"
assistments_1213,assistments_1213,Response data for items from ASSISTments. Data from SY 2012-13,https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect,,,,,,,LCM,,"@misc{assistments_2012,
  title={2012-13 School Data with Affect},
  author={{ASSISTments}},
  year={2012},
  howpublished={\\url{https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect}},
  note={Accessed through ASSISTments Data}
}"
assistments_1516,assistments_1516,Response data for items from ASSISTments. Data from SY 2015-16,https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data,,,,,,,LCM,,"@misc{assistments2015,
    title = {2015 {ASSISTments} Skill Builder Data},
    author = {{ASSISTments}},
    year = {2015},
    url = {https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data},
    howpublished = {\\url{https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data}},
    note = {Accessed: ASSISTments Data}
}"
assistments_2017,assistments_2017,"Response data for items from ASSISTments. Data from ASSISTments Data Mining Competition 2017
",https://sites.google.com/view/assistmentsdatamining/dataset,,,,,,,LCM,,"@misc{assistmentsdata,
  title = {ASSISTments Data Mining Competition 2017},
  author = {{ASSISTments}},
  year = {2017},
  url = {https://sites.google.com/view/assistmentsdatamining/dataset},
  urldate = {2024-01-09},
  howpublished = {\\url{https://sites.google.com/view/assistmentsdatamining/dataset}}
}"
balance_mokken,balance_mokken,Toddler's performance on balancing tasks,https://cran.r-project.org/web/packages/mokken/index.html,"Van Maanen, L., Been, P. H., & Sijtsma, K. (1989). Problem solving strategies and the linear logistic test model. In Mathematical psychology in progress (pp. 267-287). Springer.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@incollection{van1989problem,
  title={Problem solving strategies and the linear logistic test model},
  author={Van Maanen, L. and Been, P. H. and Sijtsma, K.},
  booktitle={Mathematical psychology in progress},
  pages={267--287},
  year={1989},
  publisher={Springer}
}"
blocked_interleaved_instruction,blocked_interleaved_instruction,Items from a study testing difference between blocked and interleaved instruction for fraction addition and multiplication,https://pslcdatashop.web.cmu.edu/Files?datasetId=1190,"Patel, R., Liu, R., Koedinger, K. (2017) Dissertation data [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=1190",,,Private,,,LCM,,"@misc{patel2017dissertation,
  author = {Patel, R. and Liu, R. and Koedinger, K.},
  title = {Dissertation data},
  year = {2017},
  note = {DataShop @ CMU},
  howpublished = {\\url{https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=1190}},
  type = {dataset}
}"
brain_hemisphere,brain_hemisphere,"Data from an interactive version of the Open Hemispheric Brain Dominance Scale survey, a measure of left and right brain cognitive style",http://openpsychometrics.org/_rawdata/,"Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip",,,Public,CC BY 4.0,,LCM,,"@misc{jorgenson2016ohbds,
  author = {Jorgenson, E.},
  title = {Open Hemispheric Brain Dominance Scale [dataset and codebook]},
  year = {2016},
  url = {http://openpsychometrics.org/_rawdata/OHBDS-data.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
cavalini_mokken,cavalini_mokken,Coping with noxious factory odor.,https://cran.r-project.org/web/packages/mokken/index.html,"Cavalini, P. M. (1992). It’s an ill wind that brings no good. Studies on odour annoyance and the dispersion of odorant concentrations from industries. Unpublished doctoral disseratation. University of Groningen, The Netherlands.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@phdthesis{cavalini1992ill,
  title={It's an ill wind that brings no good. Studies on odour annoyance and the dispersion of odorant concentrations from industries},
  author={Cavalini, P. M.},
  year={1992},
  school={University of Groningen},
  address={The Netherlands},
  type={Doctoral dissertation},
  note={Available at: https://cran.r-project.org/web/packages/mokken/index.html}
}"
cdm_hr,cdm_hr,Data from a high-stakes reading comprehension test,https://cran.r-project.org/web/packages/CDM/index.html,"Ravand, H., Barati, H., & Widhiarso, W. (2013). Exploring diagnostic capacity of a high stakes reading comprehension test: A pedagogical demonstration. Iranian Journal of Language Testing, 3(1), 1-27.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,"@article{ravand2013exploring,
  title={Exploring diagnostic capacity of a high stakes reading comprehension test: A pedagogical demonstration},
  author={Ravand, H. and Barati, H. and Widhiarso, W.},
  journal={Iranian Journal of Language Testing},
  volume={3},
  number={1},
  pages={1--27},
  year={2013},
  url={https://cran.r-project.org/web/packages/CDM/index.html}
}"
cdm_timss11,cdm_timss11,Austrian TIMSS data with Q matrix,https://cran.r-project.org/web/packages/CDM/index.html,"George, A. C., & Robitzsch, A. (2014). Multiple group cognitive diagnosis models, with an emphasis on differential item functioning. Psychological Test and Assessment Modeling, 56(4), 405-432",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,"@article{george2014multiple,
  title={Multiple group cognitive diagnosis models, with an emphasis on differential item functioning},
  author={George, Ann C and Robitzsch, Alexander},
  journal={Psychological Test and Assessment Modeling},
  volume={56},
  number={4},
  pages={405--432},
  year={2014},
  url={https://cran.r-project.org/web/packages/CDM/index.html}
}"
chinese_vocabulary_learning,chinese_vocabulary_learning,Likert scale items evaluating students' Chinese language learning strategies,https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459,"Pavlik, P. (2011). Motivation and Metacognition in Chinese Vocabulary Learning, Experiment 4 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459
",,,Private,,,LCM,,"@misc{pavlik2011motivation,
  author = {Pavlik, P.},
  title = {Motivation and Metacognition in {Chinese} Vocabulary Learning, Experiment 4},
  year = {2011},
  note = {[data set]},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=459}
}"
close_relationships,close_relationships,"Data from an interactive version of the Experinces in Close Relationships Scale by Kelly Brennan, Catherine Clark and Phillip Shaver.",http://openpsychometrics.org/_rawdata/,(2018). Experiences in Close Relationships Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip,,,Public,CC BY 4.0,,LCM,,"@misc{ECR2018,
  title = {Experiences in Close Relationships Scale [dataset and codebook]},
  year = {2018},
  url = {http://openpsychometrics.org/_rawdata/ECR-data-1March2018.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
cmu_algebra_2006,cmu_algebra_2006,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2005-2006. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,Private,,,LCM,,"@misc{stamper2010algebra,
  title={Algebra {I} 2005-2006. {Development} data set from {KDD Cup} 2010 {Educational Data Mining Challenge}},
  author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},
  year={2010},
  howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}}
}"
cmu_algebra_2007,cmu_algebra_2007,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,Private,,,LCM,,"@misc{stamper2010algebra,
  title={Algebra {I} 2006-2007. {Development} data set from {KDD Cup} 2010 {Educational Data Mining Challenge}},
  author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},
  year={2010},
  howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}}
}"
cmu_algebra_2009,cmu_algebra_2009,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Algebra I 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,Private,,,LCM,,"@misc{stamper2010algebra,
  title={Algebra {I} 2008-2009. {Challenge} data set from {KDD Cup} 2010 {Educational Data Mining Challenge}},
  author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},
  year={2010},
  howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}}
}"
cmu_bridging_algebra_2007,cmu_bridging_algebra_2007,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2006-2007. Development data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,Private,,,LCM,,"@misc{stamper2010bridge,
  title={Bridge to Algebra 2006-2007. Development data set from {KDD} Cup 2010 {Educational Data Mining Challenge}},
  author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},
  year={2010},
  howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}}
}"
cmu_bridging_algebra_2009,cmu_bridging_algebra_2009,Data on student performance on math items from an intelligent tutoring system,https://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp,"Stamper, J., Niculescu-Mizil, A., Ritter, S., Gordon, G.J., & Koedinger, K.R. (2010). Bridge to Algebra 2008-2009. Challenge data set from KDD Cup 2010 Educational Data Mining Challenge. Find it at http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp",,,Private,,,LCM,,"@misc{stamper2010bridge,
  title={Bridge to Algebra 2008-2009. Challenge data set from {KDD} Cup 2010 {Educational Data Mining Challenge}},
  author={Stamper, John and Niculescu-Mizil, Alexandru and Ritter, Steven and Gordon, Geoffrey J and Koedinger, Kenneth R},
  year={2010},
  howpublished={\\url{http://pslcdatashop.web.cmu.edu/KDDCup/downloads.jsp}}
}"
consideration_future_consequences,consideration_future_consequences,Likert scale responses statements on how actions may effect future consequences,http://openpsychometrics.org/_rawdata/,Consideration of Future Consequences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/CFCS.zip,,,Public,CC BY 4.0,,LCM,,"@misc{CFCS_dataset,
  title = {Consideration of Future Consequences Scale [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/CFCS.zip}},
  url = {http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
credentialform_lnirt,credentialform_lnirt,Responses and response times from a credentialing dataset with suspected cheating.,https://cran.r-project.org/web/packages/LNIRT/index.html,"Cizek, G. J., & Wollack, J. A. (Eds.). (2016). Handbook of quantitative methods for detecting cheating on tests. Abingdon, England: Routledge.",,GPL-3,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@book{cizek2016handbook,
  title={Handbook of quantitative methods for detecting cheating on tests},
  editor={Cizek, Gregory J and Wollack, James A},
  year={2016},
  publisher={Routledge},
  address={Abingdon, England},
  url={https://cran.r-project.org/web/packages/LNIRT/index.html}
}"
csedm_data_challenge_fall2019full,csedm_data_challenge_fall2019full,Additional item-level data from the 2019 CSEDM workshop released after challenge end ,https://pslcdatashop.web.cmu.edu/Files?datasetId=3458,"Rivers, K., Price, T. (2019). 2nd CSEDM Data Challenge - F19 All Data v1.0 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2865",,,Private,,,LCM,,"@misc{rivers2019csedm,
    author = {Rivers, Kenneth and Price, Thomas},
    title = {2nd {CSEDM} Data Challenge - {F19} All Data v1.0},
    year = {2019},
    note = {[data set]},
    publisher = {DataShop @ CMU},
    url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2865}
}"
csedm_data_challenge_spring2019full,csedm_data_challenge_spring2019full,Additional item-level data from the 2019 CSEDM workshop released in Spring 2019 ,https://pslcdatashop.web.cmu.edu/Files?datasetId=3459,"Rivers, K., Price, T. (2019). 2nd CSEDM Data Challenge - S19 All Data v1.0 [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2866",,,Private,,,LCM,,"@misc{rivers2019csedm,
    author = {Rivers, Kenneth and Price, Thomas},
    title = {2nd {CSEDM} Data Challenge - {S19} All Data v1.0},
    year = {2019},
    note = {[data set]},
    publisher = {DataShop @ CMU},
    url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2866}
}"
csedm_data_challenge,csedm_data_challenge,Programming IRW and process data from the 2019 Education Data Mining in Computer Science Education workshop,https://pslcdatashop.web.cmu.edu/Files?datasetId=2865,"Rivers, K., Price, T. (2019). CSEDM Data Challenge v1.1 (Updated 2019/01/29) [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=2865",,,Private,,,LCM,,"@misc{rivers2019csedm,
    author = {Rivers, Kenneth and Price, Thomas},
    title = {{CSEDM} Data Challenge v1.1},
    year = {2019},
    note = {Updated 2019/01/29},
    howpublished = {DataShop @ CMU},
    url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=2865},
    type = {data set}
}"
cub_relgoods,cub_relgoods,Survey of leisure time usage,https://cran.r-project.org/web/packages/CUB/index.html,http://www.labstat.it/home/wp-content/uploads/2015/09/relgoods.txt,,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,,"@misc{CUB,
  title = {CUB: A Class of Statistical Models for Ordinal Data},
  author = {Maria Iannario and Domenico Piccolo and Rosaria Simone},
  year = {2023},
  url = {https://cran.r-project.org/web/packages/CUB/index.html},
  note = {R package}
}"
depression_anxiety_stress,depression_anxiety_stress,Data from an online survey that measures scales of depression anxiety and stress,http://openpsychometrics.org/_rawdata/,(2021). Depression Anxiety Stress Scales [dataset and codebook]. http://openpsychometrics.org/_rawdata/DASS_data_21.02.19.zip,,,Public,CC BY 4.0,,LCM,,"@misc{dass2021,
  title = {Depression Anxiety Stress Scales [dataset and codebook]},
  year = {2021},
  url = {http://openpsychometrics.org/_rawdata/DASS_data_21.02.19.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
digital_games_kentucky,digital_games_kentucky,Items from a digital games study to test the theory that fractions should be introduced to students mixed with whole numbers on the same line to demonstrate that they represent magnitudes of the same type of whole numbers,https://pslcdatashop.web.cmu.edu/Files?datasetId=445,"Lomas, D. (2011). Classroom: Exp1 - UCLA-Kentucky [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=445",,,Private,,,LCM,,"@misc{lomas2011classroom,
  author = {Lomas, Derek},
  title = {Classroom: Exp1 - {UCLA}-{Kentucky}},
  year = {2011},
  note = {[dataset]},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=445}
}"
elpi_ninos_2017,elpi_ninos_2017,"Data on Chilean youths' feelings and self-evaluations of social belonging, academic performance, ambitions, technology use, etc. (3rd round of longitudinal study)",http://observatorio.ministeriodesarrollosocial.gob.cl/elpi-tercera-ronda,,,,,,,LCM,,"@misc{elpi2017,
    title = {ELPI Tercera Ronda},
    author = {{Ministerio de Desarrollo Social}},
    year = {2017},
    url = {http://observatorio.ministeriodesarrollosocial.gob.cl/elpi-tercera-ronda},
    institution = {Ministerio de Desarrollo Social},
    note = {Accessed through Observatorio Social},
    language = {spanish}
}"
emotion_pcmrs,emotion_pcmrs,Emotional reactivity from the Freiburg Complaint Checklist,https://cran.r-project.org/web/packages/PCMRS/index.html,"ZPID (2013). PsychData of the Leibniz Institute for Psychology Information ZPID. Trier: Center
for Research Data in Psychology.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,"@misc{ZPID2013,
  author = {ZPID},
  title = {PsychData of the {Leibniz} {Institute} for {Psychology} {Information} {ZPID}},
  year = {2013},
  address = {Trier},
  publisher = {Center for Research Data in Psychology},
  url = {https://cran.r-project.org/web/packages/PCMRS/index.html}
}"
