Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,BibTex
empathizing_systemizing,empathizing_systemizing,"Data from an interactive online version of a combined set of Simon Baron-Cohen's Empathizing and Systemizing Quotients, which asks participants how much they agree with statements of empathizing and perceiving behaviors",http://openpsychometrics.org/_rawdata/,Empathizing-Systemizing Test [dataset and codebook. http://openpsychometrics.org/_rawdata/EQSQ.zip,,,Public,CC BY 4.0,,LCM,,"@misc{EQSQ,
  title = {Empathizing-Systemizing Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/EQSQ.zip}},
  year = {n.d.},
  url = {http://openpsychometrics.org/_rawdata/}
}"
estcrm_selfeff,estcrm_selfeff,Teaching self-efficacy scale,https://cran.r-project.org/web/packages/EstCRM/index.html,"Kan, A.(2009). Effect of scale response format on psychometric properties in teaching self-efficacy. Euroasian Journal of Educational Research, 34, 215-228.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,,"@article{kan2009effect,
  title={Effect of scale response format on psychometric properties in teaching self-efficacy},
  author={Kan, A.},
  journal={Euroasian Journal of Educational Research},
  volume={34},
  pages={215--228},
  year={2009},
  url={https://cran.r-project.org/web/packages/EstCRM/index.html}
}"
eurpar2_mudfold,eurpar2_mudfold,Political party preference data from Europeans,https://cran.r-project.org/web/packages/mudfold/index.html,"Schuur, H. V. (1984). Structure in political beliefs: A new model for stochastic unfolding with application to European party activists (Doctoral dissertation, Rijksuniversiteit te Groningen).",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,,"@phdthesis{schuur1984structure,
  title={Structure in political beliefs: A new model for stochastic unfolding with application to European party activists},
  author={Schuur, H. V.},
  year={1984},
  school={Rijksuniversiteit te Groningen},
  url={https://cran.r-project.org/web/packages/mudfold/index.html}
}"
experimental_iq,experimental_iq,Data from an experimental IQ test,http://openpsychometrics.org/_rawdata/,Experimental IQ Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/IQ1.zip,,,Public,CC BY 4.0,,LCM,,"@misc{IQ1dataset,
  title = {Experimental {IQ} Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/IQ1.zip}},
  url = {http://openpsychometrics.org/_rawdata/},
  note = {Accessed through Open Psychometrics}
}"
face_memory_test,face_memory_test,Data from test where participants were shown pictures of peoples' faces and asked to recall whether they had already seen it,http://openpsychometrics.org/_rawdata/,Exposure Based Face Memory Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/EBFMT.zip,,,Public,CC BY 4.0,,LCM,,"@misc{EBFMT,
  title = {Exposure Based Face Memory Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/EBFMT.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
hrs_cesd,hrs_cesd,Longitudinal data from a modified CESD in the Health and Retirement Study (HRS),https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004,"Steffick, D. E., Wallace, R. B., & Herzog, A. R. (2000). Documentation of affective functioning measures in the Health and Retirement Study. Ann Arbor, MI: University of Michigan, 15.",,,Private,,,BD,,"@techreport{steffick2000documentation,
  title={Documentation of affective functioning measures in the Health and Retirement Study},
  author={Steffick, Diane E and Wallace, Robert B and Herzog, A Regula},
  year={2000},
  institution={University of Michigan},
  address={Ann Arbor, MI},
  number={15},
  url={https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004}
}"
hrs_health,hrs_health,"Longitudinal data on chronic conditions, ADL, and IADLs from the Health and Retirement Study (HRS)",https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004,"RAND HRS Longitudinal File 2018 (V2). Produced by the RAND Center for the Study of Aging, with funding from the National Institute on Aging and the Social Security Administration. Santa Monica, CA (July 2022).",,,Private,,,BD,,"@techreport{RAND_HRS_2018,
    title = {RAND {HRS} Longitudinal File 2018 (V2)},
    institution = {RAND Center for the Study of Aging},
    address = {Santa Monica, CA},
    year = {2022},
    month = {July},
    note = {Funded by the National Institute on Aging and the Social Security Administration},
    url = {https://hrsdata.isr.umich.edu/data-products/rand?_ga=2.223300059.1164873790.1677848146-1581405565.1677550004}
}"
figure_skating,figure_skating,Judges scores for different aspects of international figure skaters' performances (2016-17 and 2017-18 seasons),https://github.com/BuzzFeedNews/figure-skating-scores,"Singer-Vine, J. & Templon, J. (2021). ISU Figure Skating Score Sheets as Structured Data [data set]. BuzzFeed News. https://github.com/BuzzFeedNews/figure-skating-scores",,Creative Commons Attribution 4.0 International (CC BY 4.0),Public,CC BY 4.0,Data modified from original on 7-12-2023. Original license: https://github.com/ccp-eva/vocab/blob/main/LICENSE,LCM,,"@misc{singer2021isu,
  author = {Singer-Vine, Jeremy and Templon, John},
  title = {ISU Figure Skating Score Sheets as Structured Data},
  year = {2021},
  publisher = {BuzzFeed News},
  howpublished = {\\url{https://github.com/BuzzFeedNews/figure-skating-scores}},
  note = {[data set]}
}"
fims_tam,fims_tam,Math items from FIMS study (Australian and Japanese students),https://cran.r-project.org/web/packages/TAM/index.html,"Robitzsch A, Kiefer T, Wu M (2022). TAM: Test Analysis Modules. R package version 4.1-4, https://CRAN.R-project.org/package=TAM.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-27-2023,BD,,"@Manual{TAM2022,
  title = {TAM: Test Analysis Modules},
  author = {Alexander Robitzsch and Thomas Kiefer and Margaret Wu},
  year = {2022},
  note = {R package version 4.1-4},
  url = {https://CRAN.R-project.org/package=TAM}
}"
firstborn_personality,firstborn_personality,Data from a survey with personality items that correlate with being a firstborn child,http://openpsychometrics.org/_rawdata/,(2019). Development of the Firstborn Personality Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/FBPS-ValidationData.zip,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,,"@misc{FBPS2019,
  title = {Development of the {Firstborn} {Personality} {Scale} [dataset and codebook]},
  year = {2019},
  url = {http://openpsychometrics.org/_rawdata/FBPS-ValidationData.zip},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/}}
}"
florida_twins_behavior,florida_twins_behavior,Study from Florida about twins 9 years and older. Items related to twins' behavior and environment,https://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20,"Schatschneider, C., Lonigan, C., & Taylor, J. E. (2021). Behavior and Environment Survey Codebook. LDbase. http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20
",,"Open Data Commons Attribution License (ODC-By)
",Public,CC BY 4.0,,LCM,,"@misc{schatschneider2021behavior,
  author = {Schatschneider, Christopher and Lonigan, Christopher and Taylor, Jeanette E.},
  title = {Behavior and Environment Survey Codebook},
  year = {2021},
  publisher = {LDbase},
  url = {http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20}
}"
fractions_experiment,fractions_experiment,Data from an experiment using an online tutor to teach fractions,https://pslcdatashop.web.cmu.edu/Files?datasetId=580,"Aleven, V., Rau, M., Weitekamp, D. (2013) Cleaned logs with modified step names [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=580",,,Private,,,LCM,,"@misc{aleven2013cleaned,
  author = {Aleven, V. and Rau, M. and Weitekamp, D.},
  title = {Cleaned logs with modified step names},
  year = {2013},
  note = {[data set]},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=580}
}"
gatech_cappunish,gatech_cappunish,Attitudes towards capital punishment,https://prdlab.gatech.edu/unfolding/data/,"Roberts, J. S. (1995). Item response theory approaches to attitude measurement. (Doctoral dissertation, University of South Carolina, Columbia, 1995). Dissertation Abstracts International, 56, 7089B.",,email sent may 24,,,,BD,,"@phdthesis{Roberts1995,
  author = {Roberts, James S.},
  title = {Item response theory approaches to attitude measurement},
  school = {University of South Carolina},
  address = {Columbia},
  year = {1995},
  note = {Dissertation Abstracts International, 56, 7089B},
  url = {https://prdlab.gatech.edu/unfolding/data/}
}"
gatech_censor,gatech_censor,Attitudes about censorship,https://prdlab.gatech.edu/unfolding/data/,"Roberts, J. S. (1995). Item response theory approaches to attitude measurement. (Doctoral dissertation, University of South Carolina, Columbia, 1995). Dissertation Abstracts International, 56, 7089B.",,email,,,,BD,,"@phdthesis{Roberts1995,
  author = {Roberts, James S.},
  title = {Item response theory approaches to attitude measurement},
  school = {University of South Carolina},
  address = {Columbia},
  year = {1995},
  note = {Dissertation Abstracts International, 56, 7089B},
  url = {https://prdlab.gatech.edu/unfolding/data/}
}"
gender_roles,gender_roles,"Data from an interactive version of the Open Sex-Role Inventory, which measures masculinity and femininity (or gendered personality traits) ",http://openpsychometrics.org/_rawdata/,(2019). Open Sex Role Inventory [dataset and codebook]. https://openpsychometrics.org/_rawdata/OSRI44_dev_data.zip,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,,"@misc{osri2019,
  title = {Open Sex Role Inventory [dataset and codebook]},
  year = {2019},
  url = {https://openpsychometrics.org/_rawdata/OSRI44_dev_data.zip},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/}}
}"
geometry_course,geometry_course,"Data from an online geomtry course, which allows students to get hints",https://pslcdatashop.web.cmu.edu/Files?datasetId=122,"Aleven, V., Bllings, B. (2007). Step tables and test scores [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=122",,,Private,,,LCM,,"@misc{aleven2007step,
  author = {Aleven, V. and Bllings, B.},
  year = {2007},
  title = {Step tables and test scores [data set]},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=122}
}"
handwriting_2006,handwriting_2006,Items from a study that compares a Cognitive Tutor Algebra tutor (used in a handwriting-based interface) to one enhanced with examples,https://pslcdatashop.web.cmu.edu/Files?datasetId=145,"Anthony, L., & Ritter, S. (2008). Handwriting2/Examples Spring 2007. Dataset 165 in DataShop. Retrieved from https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=165. ",,,Private,,,LCM,,"@misc{anthony2008handwriting2,
  author = {Anthony, Lisa and Ritter, Steven},
  title = {Handwriting2/Examples Spring 2007},
  year = {2008},
  note = {Dataset 165 in DataShop},
  howpublished = {\\url{https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=165}},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=145}
}"
handwriting_2007,handwriting_2007,Items from a study used to assess various cognitive tutor interventions in a handwriting-based interface,https://pslcdatashop.web.cmu.edu/Files?datasetId=165,"Anthony, L., & Ritter, S. (2008). Handwriting/Examples Dec 2006. Dataset 145 in DataShop. Retrieved from https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=145. ",,,Private,,,LCM,,"@misc{anthony2008handwriting,
  author = {Anthony, Lisa and Ritter, Steven},
  title = {Handwriting/Examples Dec 2006},
  year = {2008},
  note = {Dataset 145 in DataShop},
  howpublished = {\\url{https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=145}}
}"
human_learning_rate,human_learning_rate,Data from an online tutoring system used to study human learning rates,https://pslcdatashop.web.cmu.edu/Files?datasetId=4629,"Koedinger, K. R., Carvalho, P., Liu, R., & McLaughlin, E. A. (2023). Student-step roll up for ds104 from An Astonishing Regularity in Student Learning Rate [data set]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=4629",,,Private,,,LCM,,"@misc{koedinger2023student,
  title={Student-step roll up for ds104 from {An} {Astonishing} {Regularity} in {Student} {Learning} {Rate} [data set]},
  author={Koedinger, Kenneth R. and Carvalho, Paulo and Liu, Ran and McLaughlin, Elizabeth A.},
  year={2023},
  publisher={DataShop @ CMU},
  url={https://pslcdatashop.web.cmu.edu/Files?datasetId=4629}
}"
hypersensitive_narcissism,hypersensitive_narcissism,Data on agreeability with certain narcisstic personality characteristics,http://openpsychometrics.org/_rawdata/,"Jorgenson, E. (2016). Open Hemispheric Brain Dominance Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/OHBDS-data.zip",,,Public,CC BY 4.0,,LCM,,"@misc{jorgenson2016ohbds,
  author = {Jorgenson, E.},
  title = {Open Hemispheric Brain Dominance Scale [dataset and codebook]},
  year = {2016},
  url = {http://openpsychometrics.org/_rawdata/OHBDS-data.zip},
  note = {Retrieved from http://openpsychometrics.org/_rawdata/}
}"
immer10_immer,immer10_immer,Standard settings ratings,https://cran.r-project.org/web/packages/immer/index.html,,,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@misc{immer,
  title = {immer: Item Response Models for Multiple Ratings},
  author = {},
  year = {},
  url = {https://cran.r-project.org/web/packages/immer/index.html},
  note = {CRAN - Package immer},
  organization = {CRAN}
}"
immer12_immer,immer12_immer,Ratings of 2002 olympics pairs figure skating,https://cran.r-project.org/web/packages/immer/index.html,,,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@misc{immer,
  title = {immer: Item Response Models for Multiple Ratings},
  author = {},
  year = {},
  url = {https://cran.r-project.org/web/packages/immer/index.html},
  note = {CRAN - Package immer},
  organization = {CRAN}
}"
introversion_extroversion,introversion_extroversion,Participants respond to statements on extraversion and introversion behaviors on a likert scale,http://openpsychometrics.org/_rawdata/,Development of the Multidimensional Introversion-Extraversion ScalesX [dataset and codebook]. http://openpsychometrics.org/_rawdata/MIES_Dev_Data.zip,,,Public,CC BY 4.0,,LCM,,"@misc{MIES_dataset,
  title = {Development of the Multidimensional Introversion-Extraversion {ScalesX} [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/MIES_Dev_Data.zip}},
  url = {http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
junyi_academy_problems,junyi_academy_problems,"Item data from exercsies from Junyi Academy, which is an online learning platform",https://pslcdatashop.web.cmu.edu/Files?datasetId=1198,"Chang, H., Hsu, H., & Chen, K. (2015). Problem log, from ""Modeling Exercise Relationships in E-Learning: A Unified Approach"" [data set]. International Conference on Educational Data Mining (EDM). https://pslcdatashop.web.cmu.edu/Files?datasetId=1198",,,Private,,,LCM,,"@dataset{chang2015problem,
   title={Problem log, from Modeling Exercise Relationships in E-Learning: A Unified Approach},
   author={Chang, Hao-Chuan and Hsu, Hsiu-Mei and Chen, Kuan-Yu},
   year={2015},
   url={https://pslcdatashop.web.cmu.edu/Files?datasetId=1198},
   note={International Conference on Educational Data Mining (EDM)},
   type={Data set}
}"
Mental_Health_Questionnaire_for_the_Elderly,mental_health_questionnaire_for_the_elderly,"In order to accurately and effectively measure the level of anxiety symptoms in the elderly (above 60 years old), from 2010 to 2011, this project translated, test-tested, and used the English version of the Geriatric Anxiety Inventory (GAI) developed in 2007 by Australian scholar Pachana. This dataset includes the responses from 1318 Chinese elderly people living in urban communities, rural communities, and nursing homes in Beijing.",http://www.cnsda.org/index.php?r=projects/view&id=60493698,"Wang T, Tang D, Gong X, Wang D. Anxiety and Depression Among Older People Dwelling in Nursing Homes Versus Communities. Chinese Journal of Clinical Psychology,2012,20(6):868-870.",,,Private,,,Liu Yiqing,,"@article{wang2012anxiety,
  title={Anxiety and Depression Among Older People Dwelling in Nursing Homes Versus Communities},
  author={Wang, T and Tang, D and Gong, X and Wang, D},
  journal={Chinese Journal of Clinical Psychology},
  volume={20},
  number={6},
  pages={868--870},
  year={2012},
  url={http://www.cnsda.org/index.php?r=projects/view&id=60493698}
}"
mobility,mobility,Social mobility for women in Bangladesh,https://cran.r-project.org/web/packages/ltm/index.html,"Huq, N. and Cleland, J. (1990) Bangladesh Fertility Survey, 1989. Dhaka: National Institute of Population Research and Training (NIPORT).",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-25-2023,BD,,"@techreport{huq1990bangladesh,
  title={Bangladesh Fertility Survey, 1989},
  author={Huq, N. and Cleland, J.},
  year={1990},
  institution={National Institute of Population Research and Training (NIPORT)},
  address={Dhaka},
  url={https://cran.r-project.org/web/packages/ltm/index.html}
}"
mpsycho_wilpat,mpsycho_wilpat,Wilson-Patterson conservatism scale,https://cran.r-project.org/web/packages/MPsychoR/index.html,,,GPL-2,Public,GPL-2,Data modified from original on 2-22-2023,BD,,"@misc{MPsychoR,
  title = {MPsychoR: Modern Psychometrics with {R}},
  author = {},
  year = {},
  url = {https://cran.r-project.org/web/packages/MPsychoR/index.html},
  note = {CRAN R package repository},
  organization = {CRAN}
}"
nerdy_personality,nerdy_personality,Attempt to quantify 'nerdiness',http://openpsychometrics.org/_rawdata/,(2015). Development of the Nerdy Personality Attributes Scale [dataset and codebook]. http://openpsychometrics.org/tests/NPAS/development/,,,Public,CC BY 4.0,,LCM,,"@misc{NPAS2015,
  title = {Development of the {Nerdy} {Personality} {Attributes} {Scale} [dataset and codebook]},
  year = {2015},
  url = {http://openpsychometrics.org/tests/NPAS/development/},
  urldate = {2023-12-11}
}"
neurips_2020,neurips_2020,"Items from a dataset from the 2020 NeurIPS Education Challenge, which was used to predict student responses, determine question quality, etc",https://eedi.com/research#data,"Wang, Z., Lamb, A., Saveliev, E., Cameron, P., Zaykov, Y., Hernández-Lobato, J.M., Turner, R.E., Baraniuk, R.G., Barton, C., Jones, S.P., Woodhead, S., & Zhang, C. (2020). Diagnostic questions: The neurips 2020 education challenge [data set]. arXiv preprint arXiv:2007.12061",,Creative Commons — Attribution-NonCommercial-NoDerivatives 4.0 International — CC BY-NC-ND 4.0,Public,CC-BY-NC-ND,,LCM,,"@article{wang2020diagnostic,
  title={Diagnostic questions: The neurips 2020 education challenge},
  author={Wang, Zichao and Lamb, Andrew and Saveliev, Evan and Cameron, Pashmina and Zaykov, Yordan and Hern{\\'a}ndez-Lobato, Jos{\\'e} Miguel and Turner, Richard E and Baraniuk, Richard G and Barton, Craig and Jones, Simon Peyton and Woodhead, Simon and Zhang, Cheng},
  journal={arXiv preprint arXiv:2007.12061},
  year={2020},
  note={[data set]},
  url={https://eedi.com/research#data}
}"
oli_psych_course,oli_psych_course,Grading data from an OLI psychology course,https://pslcdatashop.web.cmu.edu/Files?datasetId=5255,"Cheng, H. (2022). Gradebook for OLI Psych course [dataset]. DataShop @ CMU. https://pslcdatashop.web.cmu.edu/Files?datasetId=5255",,,Private,,,LCM,,"@misc{cheng2022gradebook,
  author = {Cheng, Hao},
  title = {Gradebook for {OLI} {Psych} course},
  year = {2022},
  note = {[dataset]},
  publisher = {DataShop @ CMU},
  url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=5255}
}"
pact_project,pact_project,"Data from the Promoting Adolescents' Comprehension of Text Project, in which 7 - 12 grade students respond to item to gauge the role of cognitive processes, motivation, engagement, etc to improve reading comprehension",https://ldbase.org/projects/130f6e77-0cd1-428d-b9d5-1e412a2a0f45,"Vaughn, S., Swanson, E., Roberts, G., Martinez, L., Wanzek, J., Simmons, D., Clemens, N., & Fogarty, M. (2021). PACT8 2011-2012, PACT8 2012-2013, PACT11 2011-2012, PACT11 2012-2013, Vocabulary and Comprehension (VoCO) Project [datasets]. LDbase. http://ldbase.org/datasets/7a353ad7-4859-47a0-8aad-000889fed91a
",,"Open Data Commons Attribution License (ODC-By)
",Public,CC BY 4.0,,LCM,,"@misc{vaughn2021pact8,
  author = {Vaughn, Sharon and Swanson, Elizabeth and Roberts, Greg and Martinez, Leticia and Wanzek, Jeanne and Simmons, Deborah and Clemens, Nathan and Fogarty, Melissa},
  title = {PACT8 2011-2012, PACT8 2012-2013, PACT11 2011-2012, PACT11 2012-2013, Vocabulary and Comprehension {(VoCO)} Project},
  year = {2021},
  howpublished = {LDbase},
  url = {http://ldbase.org/datasets/7a353ad7-4859-47a0-8aad-000889fed91a}
}"
pirlsmissing_sirt,pirlsmissing_sirt,Data from 2011 PIRLS from one booklet and 4 countries.,https://cran.r-project.org/web/packages/sirt/index.html,"Robitzsch A (2022). sirt: Supplementary Item Response Theory Models. R package version 3.12-66, https://CRAN.R-project.org/package=sirt.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,,"@Manual{Robitzsch2022,
  title = {sirt: Supplementary Item Response Theory Models},
  author = {Alexander Robitzsch},
  year = {2022},
  note = {R package version 3.12-66},
  url = {https://CRAN.R-project.org/package=sirt}
}"
polca_election,polca_election,Questions about how certain statements fit candidates for 2000 US presidential election,https://cran.r-project.org/web/packages/poLCA/index.html,"The National Election Studies (https://electionstudies.org/). THE 2000 NATIONAL ELECTION STUDY [dataset]. Ann Arbor, MI: University of Michigan, Center for Political Studies [producer and distributor].",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 3-15-2023,BD,,"@misc{NES2000,
  title = {The 2000 National Election Study [dataset]},
  author = {{The National Election Studies}},
  year = {2000},
  publisher = {University of Michigan, Center for Political Studies},
  address = {Ann Arbor, MI},
  url = {https://electionstudies.org/},
  note = {Producer and distributor}
}"
preference_inventory,preference_inventory,"Data on peoples' activity preferences, which corresponds with different parts of the brain",http://openpsychometrics.org/_rawdata/,"Wagner, Rudolph F., and Kelly A. Wells. ""A refined neurobehavioral inventory of hemispheric preference."" Journal of clinical psychology 41.5 (1985): 671-676.///Wagner Preference Inventory [dataset and codebook]. http://openpsychometrics.org/_rawdata/Wagner.zip",,,Public,CC BY 4.0,,LCM,,"@article{wagner1985refined,
  title={A refined neurobehavioral inventory of hemispheric preference},
  author={Wagner, Rudolph F and Wells, Kelly A},
  journal={Journal of clinical psychology},
  volume={41},
  number={5},
  pages={671--676},
  year={1985},
  publisher={Wiley Online Library},
  note={Dataset available at: \\url{http://openpsychometrics.org/_rawdata/Wagner.zip}}
}"
protestant_workethic,protestant_workethic,Data from an online survey that collects participants' sentiments on various "protestant work ethic" statements,http://openpsychometrics.org/_rawdata/,Protestant Work Ethic Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/PWE_data.zip,,,Public,CC BY 4.0,,LCM,,"@misc{PWE_dataset,
  title = {Protestant Work Ethic Scale [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/PWE_data.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
